Color,Position,Parent code,Code,Coded segments of all documents,Coded segments of activated documents,Author,Creation date,Code alias,% Coded segments of all documents,% Coded segments of activated documents,Documents
●,9,,Text,2,0,massimo,21/11/2018 20:15:42,,3.64,0.00,1
●,8,,UI,12,0,massimo,21/11/2018 20:17:12,,21.82,0.00,7
●,7,,Bug,3,0,massimo,21/11/2018 20:17:23,,5.45,0.00,3
●,6,,Roles,3,0,massimo,21/11/2018 20:20:56,,5.45,0.00,2
●,5,,Tasks,7,0,massimo,21/11/2018 20:22:37,,12.73,0.00,4
●,4,,Chat,8,0,massimo,21/11/2018 20:23:17,,14.55,0.00,5
●,3,,Branches,3,0,massimo,21/11/2018 20:25:53,,5.45,0.00,3
●,2,,Gear,2,0,massimo,21/11/2018 20:28:21,,3.64,0.00,2
●,1,,Complexity,4,0,massimo,21/11/2018 20:37:08,,7.27,0.00,3
●,0,,No clear idea,5,0,massimo,21/11/2018 20:37:32,,9.09,0.00,3
●,10,,Small Groups,6,0,massimo,21/11/2018 20:15:07,,10.91,0.00,3
